song,song,second,valence_raw,arousal_raw,valence_filt,arousal_filt,euclidean_dist_mean
stimuli/10_pieceA_anxious_joy_calm,141,70.5,0.067621579,0.032431175,0.067623904,0.032660395,0.000492004
stimuli/10_pieceA_anxious_joy_calm,142,71,0.067296686,0.03240275,0.067581897,0.032170188,0.000482562
stimuli/10_pieceA_anxious_joy_calm,143,71.5,0.066626438,0.031323592,0.067481583,0.031698168,0.00048534
stimuli/10_pieceA_anxious_joy_calm,144,72,0.065820567,0.032927941,0.067325542,0.031238596,0.000566497
stimuli/10_pieceA_anxious_joy_calm,145,72.5,0.065616259,0.033749554,0.067156288,0.030697974,0.001753544
stimuli/10_pieceA_anxious_joy_calm,146,73,0.064677045,0.032260177,0.066957184,0.02895577,0.000920341
stimuli/10_pieceA_anxious_joy_calm,147,73.5,0.065140205,0.031012474,0.066771784,0.028054297,0.004857107
stimuli/10_pieceA_anxious_joy_calm,148,74,0.065710481,0.030889963,0.066870596,0.032910399,0.000196444
stimuli/10_pieceA_anxious_joy_calm,149,74.5,0.065412993,0.030404618,0.066729947,0.032773256,0.000545452
stimuli/10_pieceA_anxious_joy_calm,150,75,0.06702427,0.028689928,0.066652354,0.032233351,5.86E-05
stimuli/10_pieceA_anxious_joy_calm,151,75.5,0.066713803,0.026617969,0.066600863,0.032205437,0.000954194
stimuli/10_pieceA_anxious_joy_calm,152,76,0.067336155,0.026236189,0.066570947,0.031251712,0.001273753
stimuli/10_pieceA_anxious_joy_calm,153,76.5,0.068330395,0.026128068,0.066502703,0.029979788,0.001503683
stimuli/10_pieceA_anxious_joy_calm,154,77,0.06771537,0.022411346,0.066405175,0.028479271,0.001828949
stimuli/10_pieceA_anxious_joy_calm,155,77.5,0.06790317,0.019509317,0.066333096,0.026651743,0.002007843
stimuli/10_pieceA_anxious_joy_calm,156,78,0.06695546,0.017876389,0.066274145,0.024644766,0.002144023
stimuli/10_pieceA_anxious_joy_calm,157,78.5,0.070332091,0.017822059,0.066298624,0.022500883,0.002210333
stimuli/10_pieceA_anxious_joy_calm,158,79,0.066835066,0.017099719,0.066388795,0.02029239,0.002307784
