"","pos2_anger_1","sad2_anger_1","sad8_anger_1","sad1_anger_1","happy7_anger_1","happy10_anger_1","happy1_anger_1","pos3_anger_1","pos2_disgust_1","sad2_disgust_1","sad8_disgust_1","sad1_disgust_1","happy7_disgust_1","happy10_disgust_1","happy1_disgust_1","pos3_disgust_1","pos2_sadness_1","sad2_sadness_1","sad8_sadness_1","sad1_sadness_1","happy7_sadness_1","happy10_sadness_1","happy1_sadness_1","pos3_sadness_1","pos2_scared_1","sad2_scared_1","sad8_scared_1","sad1_scared_1","happy7_scared_1","happy10_scared_1","happy1_scared_1","pos3_scared_1","pos2_upset_1","sad2_upset_1","sad8_upset_1","sad1_upset_1","happy7_upset_1","happy10_upset_1","happy1_upset_1","pos3_upset_1"
"146",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0
"147",0,0,0,0,0,0,0,0,0,30,0,15,0,0,0,0,0,20,30,35,0,0,0,0,0,0,0,5,0,0,0,0,0,6,5,10,0,0,0,0
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"149",0,23,0,66,0,47,10,0,0,0,0,5,0,0,0,0,0,19,0,23,0,0,21,0,0,5,0,0,0,0,0,0,0,21,0,36,0,0,15,0
"150",0,2,17,18,8,16,0,0,0,0,6,21,75,17,0,0,41,27,12,27,14,40,0,0,0,18,28,15,0,18,0,0,0,0,9,55,0,0,0,0
"151",10,10,10,20,5,5,10,5,5,5,5,50,5,10,10,5,10,55,45,70,0,10,15,5,10,20,10,25,15,15,10,5,0,50,10,55,5,10,45,10
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,59,56,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
