"","Participant.Public.ID","gloomy","sad","scared","anxious","upset","stim","condition"
"319","29974",65,69,83,67,0,"Flood 1.jpg","pic"
"320","29974",71,45,92,59,0,"Destruction 2.jpg","pic"
"321","31723",20,20,10,30,20,"Prison 2.jpg","pic"
"322","31723",0,5,0,0,0,"Heart 3.jpg","pic"
"323","31723",0,0,20,0,0,"Lake 12.jpg","pic"
"324","31723",0,0,10,0,0,"Fireworks 6.jpg","pic"
"325","31723",10,10,0,10,0,"Dirt 1.jpg","pic"
"326","31723",0,0,10,0,0,"Rainbow 2.jpg","pic"
"327","31723",20,30,10,35,30,"Destruction 2.jpg","pic"
"328","31723",0,10,10,0,0,"Clean 1.jpg","pic"
"329","31723",10,30,10,20,40,"Flood 1.jpg","pic"
"330","31723",0,0,0,0,0,"Ferret 1.jpg","pic"
"331","31723",5,0,5,0,35,"Toilet 4.jpg","pic"
"332","31723",15,15,0,0,0,"Fire 10.jpg","pic"
"333","31723",0,0,0,0,0,"Rocks 1.jpg","pic"
"334","31723",0,0,0,0,0,"Beach 1.jpg","pic"
"335","31723",10,20,0,10,40,"Garbage dump 1.jpg","pic"
"336","31723",0,0,0,0,0,"Snow 1.jpg","pic"
"337","30007",22,36,34,36,28,"Garbage dump 1.jpg","pic"
"338","30007",16,19,24,8,29,"Heart 3.jpg","pic"
"339","30007",24,23,26,21,25,"Ferret 1.jpg","pic"
"340","30007",36,30,19,39,10,"Prison 2.jpg","pic"
"341","30007",6,11,10,15,11,"Lake 12.jpg","pic"
"342","30007",3,5,5,7,11,"Clean 1.jpg","pic"
"343","30007",8,7,11,11,11,"Snow 1.jpg","pic"
"344","30007",10,12,11,10,15,"Rocks 1.jpg","pic"
"345","30007",20,23,21,25,16,"Fire 10.jpg","pic"
"346","30007",13,10,8,5,16,"Fireworks 6.jpg","pic"
"347","30007",24,6,19,25,0,"Flood 1.jpg","pic"
"348","30007",34,5,39,32,10,"Toilet 4.jpg","pic"
"349","30007",12,11,12,9,9,"Rainbow 2.jpg","pic"
"350","30007",12,8,15,11,10,"Beach 1.jpg","pic"
"351","30007",10,32,11,33,28,"Dirt 1.jpg","pic"
"352","30007",51,38,53,48,41,"Destruction 2.jpg","pic"
"353","32635",93,64,87,74,86,"Prison 2.jpg","pic"
"354","32635",36,34,55,44,30,"Garbage dump 1.jpg","pic"
"355","32635",34,35,21,87,71,"Ferret 1.jpg","pic"
"356","32635",7,93,8,13,2,"Fireworks 6.jpg","pic"
"357","32635",17,15,11,20,14,"Rainbow 2.jpg","pic"
"358","32635",9,15,17,9,9,"Lake 12.jpg","pic"
"359","32635",85,80,81,73,63,"Destruction 2.jpg","pic"
"360","32635",17,15,20,15,12,"Clean 1.jpg","pic"
"361","32635",53,71,6,14,39,"Snow 1.jpg","pic"
"362","32635",27,62,71,49,27,"Flood 1.jpg","pic"
"363","32635",26,31,34,26,52,"Rocks 1.jpg","pic"
"364","32635",50,18,25,53,17,"Fire 10.jpg","pic"
"365","32635",7,8,4,11,11,"Beach 1.jpg","pic"
"366","32635",30,15,30,52,28,"Dirt 1.jpg","pic"
"367","32635",71,31,25,57,29,"Toilet 4.jpg","pic"
"368","32635",42,42,6,21,12,"Heart 3.jpg","pic"
"369","30814",10,5,0,0,0,"Rainbow 2.jpg","pic"
"370","30814",0,0,0,0,0,"Snow 1.jpg","pic"
"371","30814",5,5,5,0,5,"Fireworks 6.jpg","pic"
"372","30814",50,70,20,15,70,"Fire 10.jpg","pic"
"373","30814",15,0,0,0,0,"Heart 3.jpg","pic"
"374","30814",50,50,50,50,50,"Dirt 1.jpg","pic"
"375","30814",15,21,19,30,10,"Ferret 1.jpg","pic"
"376","30814",50,50,20,20,50,"Flood 1.jpg","pic"
"377","30814",70,60,61,60,60,"Prison 2.jpg","pic"
"378","30814",0,0,0,0,0,"Clean 1.jpg","pic"
"379","30814",60,0,55,60,0,"Toilet 4.jpg","pic"
"380","30814",1,5,0,10,0,"Rocks 1.jpg","pic"
"381","30814",0,0,0,4,0,"Beach 1.jpg","pic"
"382","30814",51,50,22,50,50,"Destruction 2.jpg","pic"
"383","30814",0,30,20,21,0,"Lake 12.jpg","pic"
"384","30814",70,0,0,0,50,"Garbage dump 1.jpg","pic"
"385","29887",55,8,5,17,23,"Toilet 4.jpg","pic"
"386","29887",0,35,0,0,24,"Flood 1.jpg","pic"
"387","29887",7,23,4,0,27,"Destruction 2.jpg","pic"
"388","29887",0,0,0,0,0,"Lake 12.jpg","pic"
"389","29887",0,0,0,0,0,"Rocks 1.jpg","pic"
"390","29887",0,0,45,52,13,"Ferret 1.jpg","pic"
"391","29887",0,0,0,0,0,"Snow 1.jpg","pic"
"392","29887",0,0,0,0,0,"Fireworks 6.jpg","pic"
"393","29887",0,0,0,0,0,"Heart 3.jpg","pic"
"394","29887",36,39,0,0,0,"Prison 2.jpg","pic"
"395","29887",0,0,0,0,0,"Clean 1.jpg","pic"
"396","29887",41,23,0,30,52,"Garbage dump 1.jpg","pic"
"397","29887",0,0,0,0,0,"Rainbow 2.jpg","pic"
"398","29887",0,0,0,0,0,"Beach 1.jpg","pic"
"399","29887",0,0,0,4,12,"Dirt 1.jpg","pic"
"400","29887",76,44,0,5,68,"Fire 10.jpg","pic"
"401","29944",0,0,0,0,10,"Garbage dump 1.jpg","pic"
"402","29944",10,0,0,0,15,"Toilet 4.jpg","pic"
"403","29944",0,0,0,0,15,"Destruction 2.jpg","pic"
"404","29944",0,0,0,0,0,"Ferret 1.jpg","pic"
"405","29944",0,0,0,0,0,"Clean 1.jpg","pic"
"406","29944",0,0,0,0,0,"Heart 3.jpg","pic"
"407","29944",0,0,0,0,0,"Fireworks 6.jpg","pic"
"408","29944",0,0,0,0,0,"Lake 12.jpg","pic"
"409","29944",0,0,0,0,0,"Beach 1.jpg","pic"
"410","29944",0,0,0,0,0,"Snow 1.jpg","pic"
"411","29944",0,0,0,0,0,"Dirt 1.jpg","pic"
"412","29944",10,0,0,20,0,"Prison 2.jpg","pic"
"413","29944",0,0,0,0,0,"Rainbow 2.jpg","pic"
"414","29944",0,0,0,0,20,"Fire 10.jpg","pic"
"415","29944",0,0,0,0,0,"Rocks 1.jpg","pic"
"416","29944",0,0,0,10,0,"Flood 1.jpg","pic"
"417","31132",72,50,3,49,57,"Rocks 1.jpg","pic"
"418","31132",69,71,71,70,66,"Prison 2.jpg","pic"
"419","31132",71,76,72,73,74,"Ferret 1.jpg","pic"
"420","31132",0,61,0,31,34,"Fireworks 6.jpg","pic"
"421","31132",1,18,4,1,2,"Beach 1.jpg","pic"
"422","31132",0,11,3,0,6,"Snow 1.jpg","pic"
"423","31132",0,0,0,0,8,"Lake 12.jpg","pic"
"424","31132",2,5,3,2,4,"Rainbow 2.jpg","pic"
"425","31132",75,57,20,79,72,"Clean 1.jpg","pic"
"426","31132",28,50,34,32,29,"Garbage dump 1.jpg","pic"
"427","31132",21,9,12,17,17,"Destruction 2.jpg","pic"
"428","31132",16,20,22,18,55,"Fire 10.jpg","pic"
"429","31132",27,21,30,28,63,"Dirt 1.jpg","pic"
"430","31132",82,76,65,89,95,"Toilet 4.jpg","pic"
"431","31132",34,41,44,7,64,"Flood 1.jpg","pic"
