"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"301","32299","","","","","","Snow 1.jpg","pic"
"302","32299","50","50","50","50","30","Destruction 2.jpg","pic"
"303","32299","","","","","","Prison 2.jpg","pic"
"304","32299","50","30","30","30","30","Heart 3.jpg","pic"
"305","32299","","","","","","Lake 12.jpg","pic"
"306","32299","70","1","50","50","20","Rocks 1.jpg","pic"
"307","32299","","","","","","Rainbow 2.jpg","pic"
"308","32299","60","60","50","60","50","Fireworks 6.jpg","pic"
"309","32299","","","","","","Fire 10.jpg","pic"
"310","32299","0","0","0","0","0","Heart 3.jpg","pic"
"311","32299","","","","","","Toilet 4.jpg","pic"
"312","32299","80","80","60","80","80","Dirt 1.jpg","pic"
"313","32299","","","","","","Clean 1.jpg","pic"
"314","32299","50","75","75","75","30","Ferret 1.jpg","pic"
"315","32299","","","","","","Prison 2.jpg","pic"
"316","32299","75","50","75","75","75","Snow 1.jpg","pic"
"317","32299","","","","","","Beach 1.jpg","pic"
"318","32299","0","0","0","0","0","Garbage dump 1.jpg","pic"
"319","32299","","","","","","Flood 1.jpg","pic"
"320","32299","0","0","0","0","0","Destruction 2.jpg","pic"
"321","30766","","","","","","Prison 2.jpg","pic"
"322","30766","0","0","0","0","0","Heart 3.jpg","pic"
"323","30766","","","","","","Lake 12.jpg","pic"
"324","30766","100","50","0","50","50","Fireworks 6.jpg","pic"
"325","30766","","","","","","Dirt 1.jpg","pic"
"326","30766","0","0","0","0","0","Rainbow 2.jpg","pic"
"327","30766","","","","","","Destruction 2.jpg","pic"
"328","30766","10","45","0","30","12","Clean 1.jpg","pic"
"329","30766","","","","","","Flood 1.jpg","pic"
"330","30766","0","0","0","0","0","Ferret 1.jpg","pic"
"331","30766","","","","","","Toilet 4.jpg","pic"
"332","30766","0","0","0","0","0","Fire 10.jpg","pic"
"333","30766","","","","","","Rocks 1.jpg","pic"
"334","30766","0","0","0","0","0","Beach 1.jpg","pic"
"335","30766","","","","","","Garbage dump 1.jpg","pic"
"336","30766","0","0","0","0","0","Snow 1.jpg","pic"
"337","30766","","","","","","Garbage dump 1.jpg","pic"
"338","30766","45","100","0","30","75","Heart 3.jpg","pic"
"339","30766","","","","","","Ferret 1.jpg","pic"
"340","30766","100","100","100","80","20","Prison 2.jpg","pic"
"341","30766","","","","","","Lake 12.jpg","pic"
"342","30766","0","0","0","0","0","Clean 1.jpg","pic"
"343","30766","","","","","","Snow 1.jpg","pic"
"344","30766","100","85","15","0","50","Rocks 1.jpg","pic"
"345","30766","","","","","","Fire 10.jpg","pic"
"346","30766","0","0","0","0","5","Fireworks 6.jpg","pic"
"347","30766","","","","","","Flood 1.jpg","pic"
"348","30766","0","0","0","0","0","Toilet 4.jpg","pic"
"349","30766","","","","","","Rainbow 2.jpg","pic"
"350","30766","0","0","0","0","0","Beach 1.jpg","pic"
"351","30766","","","","","","Dirt 1.jpg","pic"
"352","30766","0","50","0","0","20","Destruction 2.jpg","pic"
"353","30916","","","","","","Prison 2.jpg","pic"
"354","30916","7","7","9","14","12","Garbage dump 1.jpg","pic"
"355","30916","","","","","","Ferret 1.jpg","pic"
"356","30916","47","36","31","67","24","Fireworks 6.jpg","pic"
"357","30916","","","","","","Rainbow 2.jpg","pic"
"358","30916","69","81","78","85","39","Lake 12.jpg","pic"
"359","30916","","","","","","Destruction 2.jpg","pic"
"360","30916","52","70","34","39","9","Clean 1.jpg","pic"
"361","30916","","","","","","Snow 1.jpg","pic"
"362","30916","10","1","5","0","1","Flood 1.jpg","pic"
"363","30916","","","","","","Rocks 1.jpg","pic"
"364","30916","58","56","80","73","79","Fire 10.jpg","pic"
"365","30916","","","","","","Beach 1.jpg","pic"
"366","30916","10","22","5","5","14","Dirt 1.jpg","pic"
"367","30916","","","","","","Toilet 4.jpg","pic"
"368","30916","77","81","80","54","44","Heart 3.jpg","pic"
"369","30916","","","","","","Rainbow 2.jpg","pic"
"370","30916","3","10","2","1","1","Snow 1.jpg","pic"
"371","30916","","","","","","Fireworks 6.jpg","pic"
"372","30916","0","2","1","0","1","Fire 10.jpg","pic"
"373","30916","","","","","","Heart 3.jpg","pic"
"374","30916","0","0","0","0","0","Dirt 1.jpg","pic"
"375","30916","","","","","","Ferret 1.jpg","pic"
"376","30916","0","0","0","0","0","Flood 1.jpg","pic"
"377","30916","","","","","","Prison 2.jpg","pic"
"378","30916","79","32","67","69","12","Clean 1.jpg","pic"
"379","30916","","","","","","Toilet 4.jpg","pic"
"380","30916","36","20","30","23","77","Rocks 1.jpg","pic"
"381","30916","","","","","","Beach 1.jpg","pic"
"382","30916","0","37","0","0","22","Destruction 2.jpg","pic"
"383","30916","","","","","","Lake 12.jpg","pic"
"384","30916","7","10","28","30","10","Garbage dump 1.jpg","pic"
"385","31711","","","","","","Toilet 4.jpg","pic"
"386","31711","4","0","7","1","5","Flood 1.jpg","pic"
"387","31711","","","","","","Destruction 2.jpg","pic"
"388","31711","74","47","95","66","86","Lake 12.jpg","pic"
"389","31711","","","","","","Rocks 1.jpg","pic"
"390","31711","0","0","2","0","2","Ferret 1.jpg","pic"
"391","31711","","","","","","Snow 1.jpg","pic"
"392","31711","53","65","64","68","77","Fireworks 6.jpg","pic"
"393","31711","","","","","","Heart 3.jpg","pic"
"394","31711","41","52","79","75","64","Prison 2.jpg","pic"
"395","31711","","","","","","Clean 1.jpg","pic"
"396","31711","32","22","19","26","38","Garbage dump 1.jpg","pic"
"397","31711","","","","","","Rainbow 2.jpg","pic"
"398","31711","5","19","26","27","25","Beach 1.jpg","pic"
"399","31711","","","","","","Dirt 1.jpg","pic"
"400","31711","78","56","73","64","83","Fire 10.jpg","pic"
"401","31711","","","","","","Garbage dump 1.jpg","pic"
"402","31711","3","1","1","2","5","Toilet 4.jpg","pic"
"403","31711","","","","","","Destruction 2.jpg","pic"
"404","31711","1","4","1","1","0","Ferret 1.jpg","pic"
"405","31711","","","","","","Clean 1.jpg","pic"
"406","31711","15","3","5","4","11","Heart 3.jpg","pic"
"407","31711","","","","","","Fireworks 6.jpg","pic"
"408","31711","4","22","13","26","13","Lake 12.jpg","pic"
"409","31711","","","","","","Beach 1.jpg","pic"
"410","31711","46","50","36","55","23","Snow 1.jpg","pic"
"411","31711","","","","","","Dirt 1.jpg","pic"
"412","31711","5","3","3","2","4","Prison 2.jpg","pic"
"413","31711","","","","","","Rainbow 2.jpg","pic"
"414","31711","50","49","47","59","62","Fire 10.jpg","pic"
