"","ID","negmusicICC","posmusicICC","negpicICC","pospicICC","negICC","posICC","allmusicICC","allpicICC"
"67","63474e67a5fd298c6103c409",-0.455620454347973,-0.67739911102653,-0.981590611010626,-0.886375835300289,-0.71806351078871,-0.888605266052105,-0.566509782687251,-0.933983223155457
"68","639b9ab341f4429b1b3c06a2",-0.48341328332185,-0.885638179347211,-1.55630240907544,-1.39372937898015,-1.39287955584663,-1.24741319886545,-0.68452573133453,-1.47501589402779
"69","63ae31ff5c725a41082afc56",-1.45245918854036,-1.94238567200791,-2.18820668971058,-2.89154554297744,-1.84432208748314,-2.25964786737521,-1.69742243027413,-2.53987611634401
"70","63b18d94775ad4aad221103c",-1.92613005337791,-1.70349653751101,-2.07070526005106,-1.82205455426926,-2.00303821507387,-1.76170859678382,-1.81481329544446,-1.94637990716016
"71","63bc9e8cd8106f8d94c636d4",-0.583365223451398,-1.2708291668213,-1.2929029487013,-1.42011824876581,-0.960276053932594,-1.35727904891473,-0.927097195136347,-1.35651059873355
"72","63d2a4b549eb02187fd40092",-0.684671041357606,-1.40358920735699,-1.24450559487327,-1.65961656776366,-1.10924794832014,-1.57188529131345,-1.0441301243573,-1.45206108131847
"73","63ed78d1217e614a3c6b392e",-1.40177595555373,-2.24626799404525,-1.97997233001455,-2.74884109969027,-1.86562866497405,-2.75486768209395,-1.82402197479949,-2.36440671485241
"74","63eec085b1d2e79ac4fbbd78",-1.78603977434111,-1.07034251209253,-1.2888627174322,-1.57799464690258,-1.47174753595493,-1.44348194817887,-1.42819114321682,-1.43342868216739
"75","63f82a4ff43ec144ca3622a8",-0.752302759656487,-0.891792098907517,-1.00229120245833,-0.650032290912058,-0.992134604578629,-0.740792848506759,-0.822047429282002,-0.826161746685196
"76","6407946a4bb4212372843398",-1.04406083777939,-1.85813542431401,-1.37382602717819,-1.56188611157366,-1.16665770305968,-1.76097621893421,-1.4510981310467,-1.46785606937593
"77","64275e53f51a5ed4f6b7d019",0,-1.02316292325733,0,NA,0,-1.17508757067758,-0.511581461628666,0
"78","64345edc0fd9813bdd9ef181",-1.9768931863269,-1.69592517848411,-2.21235557351206,-2.32894811866305,-2.30889431634467,-2.17907315541891,-1.8364091824055,-2.27065184608756
"79","64551d250ef342507eb0edf9",-0.513146778985979,-0.378687909851211,-0.956932488659041,-0.669470139783515,-0.606341270729822,-0.588533022038993,-0.445917344418595,-0.813201314221278
"80","64b3ebc9ad6778799f835dcb",-0.915546788248373,-1.31037762617901,-1.05420991735465,-2.23414233044846,-1.04010079979145,-1.71568678609596,-1.11296220721369,-1.64417612390155
"81","64d52f6f30852f26223d1e84",-0.506187295163856,-0.964687323936882,0,-1.07023817914072,-0.498306519481994,-1.05692525220228,-0.735437309550369,-0.535119089570359
"82","64d91e8194411a7a62506acc",-0.597794973017725,-0.917103249263294,-1.42003027535084,-1.3348362230014,-1.00020694262689,-0.986564045428794,-0.75744911114051,-1.37743324917612
"83","650b03136ab3d4c832d98b71",-0.98477967941609,-0.875158473927678,-0.896083413641978,-1.67647002853521,-0.969434814431079,-1.53648712929215,-0.929969076671884,-1.28627672108859
"84","651c18b7be672ec76e5f6860",0,-0.56522587667653,-1.85263793147738,-1.29455797691466,-1.25642833658947,-1.11224313310165,-0.282612938338265,-1.57359795419602
"85","6544ff9e0fb2eaaf83e2de5c",-0.96090216006239,-1.76435995656135,-0.993178987232125,-3.39997580693881,-1.01300639624925,-2.27601679794244,-1.36263105831187,-2.19657739708547
"86","6548f960db60a00d76e92695",-0.687094263619499,-1.24181763287066,-1.85483807288474,-2.08603163521272,-1.78839686015459,-1.82850318074508,-0.964455948245079,-1.97043485404873
"87","655386dc470f6217a78fec03",-0.883988577056893,-0.420557365255722,-1.4293700150237,-1.06475007332342,-1.24954570710311,-0.793318642500896,-0.652272971156307,-1.24706004417356
"88","655b6a0d11066d07716ab0b5",-0.495372505018931,0,-0.268088607481702,-2.22044604925031e-16,-0.415789165860637,0,-0.247686252509466,-0.134044303740851
"89","65a7027c88eae2b9a68ae596",-1.50266706549596,-1.26858678236958,-2.59075565379374,-2.30013551971852,-1.99393276564286,-1.79660635149908,-1.38562692393277,-2.44544558675613
"90","65b1193868f3449f46325ea8",-0.322212319096775,-0.732881767698648,-0.17013545081474,-0.830311437222059,-0.201797262862385,-0.809325941316448,-0.527547043397711,-0.500223444018399
"91","65bf9aeb592e888df327d648",-0.652516495024158,-0.560133766197335,-0.584295166120449,-0.656137538762989,-0.612757941485279,-0.586687246272536,-0.606325130610746,-0.620216352441719
"92","65c12e15de9c876d82fcd335",-1.82083981504898,-1.38585113807878,-2.65426144584332,-2.4903647372504,-2.27987625521377,-1.93705549519475,-1.60334547656388,-2.57231309154686
"93","65ccfdf16bdcab83d5bd1163",-0.494916171929629,-1.10681638671707,-1.70823766921005,-1.31418516709662,-1.24356025749076,-1.16321124884724,-0.800866279323347,-1.51121141815334
"94","65e375588229327640a29ad9",-0.878117588523858,-0.456948889351227,-1.38954946313154,-1.24347959896127,-1.08439952356494,-0.946008125402834,-0.667533238937542,-1.31651453104641
