"","song","song.1","second","valence_raw","arousal_raw","valence_filt","arousal_filt","euclidean_dist_mean","start_time"
"1456","stimuli/5_pieceB_calm_sad_anxious",16,8,-0.002831336,-0.113599196,-0.006554729,-0.116510386,0.000293327,NA
"1457","stimuli/5_pieceB_calm_sad_anxious",17,8.5,-0.003176192,-0.115239048,-0.006758875,-0.116721016,5.12e-05,NA
"1458","stimuli/5_pieceB_calm_sad_anxious",18,9,-0.002617101,-0.117085672,-0.006714423,-0.116746331,0.000337958,NA
"1459","stimuli/5_pieceB_calm_sad_anxious",19,9.5,-0.003056381,-0.118379628,-0.006402143,-0.116617115,0.000641785,NA
"1460","stimuli/5_pieceB_calm_sad_anxious",20,10,-0.00288037,-0.11981436,-0.005812257,-0.116364285,0.0009348,NA
"1461","stimuli/5_pieceB_calm_sad_anxious",21,10.5,-0.001828528,-0.117325573,-0.004943732,-0.116018574,0.00121108,NA
"1462","stimuli/5_pieceB_calm_sad_anxious",22,11,-0.000501462,-0.115006004,-0.003803573,-0.115610222,0.001465561,NA
"1463","stimuli/5_pieceB_calm_sad_anxious",23,11.5,4.29e-05,-0.114544934,-0.002406114,-0.11516866,0.001693704,NA
"1464","stimuli/5_pieceB_calm_sad_anxious",24,12,-0.000548039,-0.11346223,-0.000772313,-0.114722199,0.001891513,NA
"1495","stimuli/5_pieceB_calm_sad_anxious",55,27.5,0.004533046,-0.123118532,-0.000758567,-0.123656961,0.00157025,NA
"1496","stimuli/5_pieceB_calm_sad_anxious",56,28,0.003831792,-0.123489959,-0.002325433,-0.123759988,0.001128891,NA
"1497","stimuli/5_pieceB_calm_sad_anxious",57,28.5,0.002705881,-0.123229123,-0.003445583,-0.123900201,0.000640773,NA
"1498","stimuli/5_pieceB_calm_sad_anxious",58,29,0.001201963,-0.122384346,-0.004067098,-0.124056116,0.000181738,NA
"1499","stimuli/5_pieceB_calm_sad_anxious",59,29.5,-0.000443614,-0.122873619,-0.004110786,-0.124232525,0.000552578,NA
"1500","stimuli/5_pieceB_calm_sad_anxious",60,30,-0.001447522,-0.12421304,-0.003560792,-0.1242859,0.001268994,NA
"1501","stimuli/5_pieceB_calm_sad_anxious",61,30.5,-0.002148081,-0.124065939,-0.002294531,-0.124369134,0.000157238,NA
"1502","stimuli/5_pieceB_calm_sad_anxious",62,31,-0.002130491,-0.124140864,-0.002340364,-0.124519544,0.000245501,NA
"1503","stimuli/5_pieceB_calm_sad_anxious",63,31.5,-0.003521852,-0.125161832,-0.00254808,-0.124650406,0.000431132,NA
"1504","stimuli/5_pieceB_calm_sad_anxious",64,32,-0.004998736,-0.125581797,-0.002964873,-0.124760673,0.000785157,NA
"1505","stimuli/5_pieceB_calm_sad_anxious",65,32.5,-0.005928629,-0.125738855,-0.003748344,-0.124812102,0.001086958,NA
"1506","stimuli/5_pieceB_calm_sad_anxious",66,33,-0.007709677,-0.12652178,-0.004826481,-0.1249503,0.001884745,NA
"1507","stimuli/5_pieceB_calm_sad_anxious",67,33.5,-0.008347026,-0.126732853,-0.006693623,-0.125207294,0.000944221,NA
"1508","stimuli/5_pieceB_calm_sad_anxious",68,34,-0.008275071,-0.127419165,-0.007597392,-0.125480706,0.00084521,NA
"1509","stimuli/5_pieceB_calm_sad_anxious",69,34.5,-0.008679742,-0.127270074,-0.008389146,-0.125776519,0.00070508,NA
"1510","stimuli/5_pieceB_calm_sad_anxious",70,35,-0.009655117,-0.126835893,-0.009013955,-0.126103247,0.000541055,NA
"1511","stimuli/5_pieceB_calm_sad_anxious",71,35.5,-0.010185258,-0.125591171,-0.009472776,-0.126389993,0.000364133,NA
"1512","stimuli/5_pieceB_calm_sad_anxious",72,36,-0.01016198,-0.125774563,-0.009767199,-0.126604254,0.000228844,NA
"1513","stimuli/5_pieceB_calm_sad_anxious",73,36.5,-0.010976197,-0.12749601,-0.009692078,-0.126820417,0.000270867,NA
"1514","stimuli/5_pieceB_calm_sad_anxious",74,37,-0.0112639,-0.126224977,-0.009874774,-0.127020395,0.000153481,NA
"1515","stimuli/5_pieceB_calm_sad_anxious",75,37.5,-0.011600906,-0.125250011,-0.010017189,-0.127077616,0.000177171,NA
"1516","stimuli/5_pieceB_calm_sad_anxious",76,38,-0.009759815,-0.127588095,-0.010175184,-0.126997447,0.000217605,NA
"1517","stimuli/5_pieceB_calm_sad_anxious",77,38.5,-0.010485414,-0.123385095,-0.010241785,-0.126790285,0.000338519,NA
"1518","stimuli/5_pieceB_calm_sad_anxious",78,39,-0.011481431,-0.122313808,-0.010297543,-0.12645639,0.000504253,NA
"1519","stimuli/5_pieceB_calm_sad_anxious",79,39.5,-0.004932738,-0.121415577,-0.010421603,-0.125967636,0.000630233,NA
"1520","stimuli/5_pieceB_calm_sad_anxious",80,40,-0.004971471,-0.121717786,-0.01054873,-0.125350358,0.000776941,NA
"1521","stimuli/5_pieceB_calm_sad_anxious",81,40.5,-0.011885668,-0.125021115,-0.010672682,-0.124583368,0.000952359,NA
"1522","stimuli/5_pieceB_calm_sad_anxious",82,41,-0.011718525,-0.125082454,-0.010848928,-0.123647459,0.001137738,NA
"1523","stimuli/5_pieceB_calm_sad_anxious",83,41.5,-0.011168928,-0.125059173,-0.011126244,-0.122544035,0.00131411,NA
"1524","stimuli/5_pieceB_calm_sad_anxious",84,42,-0.011381863,-0.124490942,-0.011497071,-0.121283332,0.001511238,NA
"1525","stimuli/5_pieceB_calm_sad_anxious",85,42.5,-0.011942105,-0.123607912,-0.011938859,-0.119838111,0.001726033,NA
"1526","stimuli/5_pieceB_calm_sad_anxious",86,43,-0.012865217,-0.122153915,-0.012434066,-0.118184642,0.001920274,NA
"1527","stimuli/5_pieceB_calm_sad_anxious",87,43.5,-0.013985972,-0.121763103,-0.012983719,-0.116344714,0.002048478,NA
"1528","stimuli/5_pieceB_calm_sad_anxious",88,44,-0.014802293,-0.11880646,-0.013667156,-0.114413607,0.002241711,NA
"1529","stimuli/5_pieceB_calm_sad_anxious",89,44.5,-0.015533779,-0.11458824,-0.014443512,-0.112310624,0.002425334,NA
"1530","stimuli/5_pieceB_calm_sad_anxious",90,45,-0.016502163,-0.108299364,-0.015233634,-0.110017601,0.002601936,NA
"1531","stimuli/5_pieceB_calm_sad_anxious",91,45.5,-0.01019656,-0.104143491,-0.016097612,-0.107563296,0.002821954,NA
"1532","stimuli/5_pieceB_calm_sad_anxious",92,46,-0.011359119,-0.101902035,-0.017013899,-0.104894243,0.002916699,NA
"1533","stimuli/5_pieceB_calm_sad_anxious",93,46.5,-0.019927748,-0.100304176,-0.017948019,-0.102131174,0.002988262,NA
"1534","stimuli/5_pieceB_calm_sad_anxious",94,47,-0.021745069,-0.097882451,-0.018895573,-0.099297122,0.002943439,NA
"1535","stimuli/5_pieceB_calm_sad_anxious",95,47.5,-0.022455787,-0.095704212,-0.0198248,-0.096504208,0.003020915,NA
"1536","stimuli/5_pieceB_calm_sad_anxious",96,48,-0.023160943,-0.092548247,-0.020751386,-0.093628905,0.002966192,NA
"1537","stimuli/5_pieceB_calm_sad_anxious",97,48.5,-0.024164012,-0.089245744,-0.021632827,-0.090796705,0.002908237,NA
