"","Participant.Public.ID","Response","Object.Name","Spreadsheet..Audio"
"173","TEAM_YA_031",12,"Angry Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"174","TEAM_YA_031",10,"Excited Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"175","TEAM_YA_031",8,"Happy Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"176","TEAM_YA_031",7,"Disgusted Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"177","TEAM_YA_031",33,"Sad Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"178","TEAM_YA_031",12,"Proud Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"179","TEAM_YA_031",5,"Scared Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"180","TEAM_YA_031",5,"Joyful Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"181","TEAM_YA_030",15,"Anxious Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"182","TEAM_YA_030",25,"Relaxed Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"183","TEAM_YA_030",0,"Angry Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"184","TEAM_YA_030",50,"Excited Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"185","TEAM_YA_030",20,"Happy Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"186","TEAM_YA_030",0,"Disgusted Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"187","TEAM_YA_030",0,"Sad Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"188","TEAM_YA_030",20,"Proud Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"189","TEAM_YA_030",0,"Scared Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"190","TEAM_YA_030",20,"Joyful Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"191","TEAM_YA_030",20,"Anxious Slider","5_pieceB_calm_sad_anxious_7.mp3"
"192","TEAM_YA_030",10,"Relaxed Slider","5_pieceB_calm_sad_anxious_7.mp3"
"193","TEAM_YA_030",0,"Angry Slider","5_pieceB_calm_sad_anxious_7.mp3"
"194","TEAM_YA_030",20,"Excited Slider","5_pieceB_calm_sad_anxious_7.mp3"
