"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"82","30388",14,0,0,0,0,"Ferret 1.jpg","pic"
"83","30388",0,84,0,0,86,"Rainbow 2.jpg","pic"
"84","30388",0,78,0,0,88,"Snow 1.jpg","pic"
"85","30388",0,0,0,0,0,"Rocks 1.jpg","pic"
"86","30388",0,0,0,0,0,"Fire 10.jpg","pic"
"87","30388",0,0,0,0,0,"Flood 1.jpg","pic"
"88","30388",0,0,0,0,0,"Destruction 2.jpg","pic"
"89","30388",36,100,0,0,90,"Lake 12.jpg","pic"
"90","30388",0,0,0,0,0,"Prison 2.jpg","pic"
"91","30388",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"92","30388",0,0,0,0,0,"Heart 3.jpg","pic"
"93","30388",0,0,0,0,0,"Dirt 1.jpg","pic"
"94","30388",6,8,0,0,0,"Fireworks 6.jpg","pic"
"95","30388",30,60,0,20,90,"Beach 1.jpg","pic"
"96","30388",20,0,0,0,0,"Toilet 4.jpg","pic"
"97","31279",29,50,21,12,63,"Fire 10.jpg","pic"
"98","31279",97,100,98,100,99,"Lake 12.jpg","pic"
"99","31279",0,0,0,0,0,"Toilet 4.jpg","pic"
"100","31279",71,66,31,52,52,"Snow 1.jpg","pic"
"101","31279",100,99,100,100,100,"Beach 1.jpg","pic"
"102","31279",12,0,0,0,0,"Dirt 1.jpg","pic"
"103","31279",0,0,0,0,0,"Prison 2.jpg","pic"
"104","31279",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"105","31279",87,87,87,86,89,"Clean 1.jpg","pic"
"106","31279",12,0,0,0,3,"Destruction 2.jpg","pic"
"107","31279",89,83,65,89,46,"Heart 3.jpg","pic"
"108","31279",85,71,70,87,20,"Fireworks 6.jpg","pic"
"109","31279",0,0,0,0,0,"Flood 1.jpg","pic"
"110","31279",62,69,79,84,83,"Rocks 1.jpg","pic"
"111","31279",99,98,100,100,99,"Rainbow 2.jpg","pic"
"112","31279",83,16,0,58,25,"Ferret 1.jpg","pic"
"113","32551",1,2,1,1,3,"Destruction 2.jpg","pic"
"114","32551",62,22,65,69,68,"Beach 1.jpg","pic"
"115","32551",56,80,5,25,61,"Heart 3.jpg","pic"
"116","32551",2,2,3,1,2,"Prison 2.jpg","pic"
"117","32551",44,86,28,38,48,"Lake 12.jpg","pic"
"118","32551",46,32,35,53,45,"Rainbow 2.jpg","pic"
"119","32551",40,4,4,4,26,"Clean 1.jpg","pic"
"120","32551",64,29,49,50,23,"Snow 1.jpg","pic"
"121","32551",4,7,5,7,4,"Dirt 1.jpg","pic"
"122","32551",4,1,2,2,0,"Toilet 4.jpg","pic"
"123","32551",0,0,0,1,0,"Garbage dump 1.jpg","pic"
"124","32551",0,0,0,0,1,"Flood 1.jpg","pic"
"125","32551",1,1,1,1,0,"Ferret 1.jpg","pic"
"126","32551",38,23,66,53,9,"Fireworks 6.jpg","pic"
"127","32551",38,52,2,28,27,"Rocks 1.jpg","pic"
"128","32551",1,2,2,2,1,"Fire 10.jpg","pic"
"129","32569",0,0,0,0,0,"Heart 3.jpg","pic"
"130","32569",0,0,0,0,0,"Ferret 1.jpg","pic"
"131","32569",0,0,0,0,0,"Dirt 1.jpg","pic"
"132","32569",23,0,0,25,17,"Beach 1.jpg","pic"
